Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,AUT,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,67.09,70.99,72.15,72.34,72.39,72.12,77.3,79.7,79.73,79.59,80.77,79.48,79.83,83.82,84.87,86.07,86.29,88,92.23,93.44,94.25,95.57,95.72,100.53,99.93,100.58,101.02,98.12,96.67,97.58,95.72,96.13,94.48,93.2,86.88,89.84,89.2,90.14,91.79,92.54,93.29,92.96,92.36,91.54,89.8,91.1,92.41,93.53,95.57,97.13,97.7,97.66,98.02,98.46,100.17,101.37,101.37,101.49,101.07,100.87,99.23,
Azerbaijan,AZE,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,41.34,38.68,39.17,40.9,43.7,47.37,49.6,51.76,53.95,56.78,59.89,62.91,64.8,66.84,70.05,72.3,80.43,86.19,88.06,91.84,95.09,97.07,99.42,103.52,104.85,107.26,112.96,116.12,118.46,
Burundi,BDI,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,35.09,35.72,35.79,37,39.96,41.5,44.24,46.11,51.68,52.37,53.81,58.04,60.4,61.48,65.97,74.78,68.74,69.05,68.24,65.78,57.67,58.69,61.38,62.58,60.16,68.69,69.7,74.45,74.77,65.34,73.21,70.72,70.86,66.99,56.61,53.2,49.3,51.88,62.26,56.72,52.21,50.61,50.28,46.12,59.09,70.77,67.5,64.69,70.1,71.04,78.4,91.13,74.94,92.59,98.11,109.31,127.57,130.98,131.11,122.02,128.06,
Belgium,BEL,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3,98.36,98.26,94.91,94.01,89.72,90.93,91.2,87.5,87.24,92.89,92.72,91.3,94.45,97.11,102.11,100.79,102.49,104.92,101.97,104.87,104.86,
Benin,BEN,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,17.9,18.83,20.92,22.41,23.09,24.44,25.82,26.15,27.63,27.94,28.01,29.43,30.13,32.62,35.29,36.5,36.38,38.19,39.42,42.15,43.2,46.06,51.02,54.36,57.84,50.16,48.9,46.57,44.54,45.57,50.31,51.69,52.37,56.03,53.48,56.22,56.82,60.13,59.26,68.86,69.18,72.66,72.93,78.61,81.28,80.17,82.51,75.36,71.51,83.68,89.37,92.49,97.53,97.43,100.26,102.32,104.82,106.82,118.19,121.44,107.47,
Burkina Faso,BFA,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,12,12.5,12.82,13.59,15.59,14.6,14.9,15.16,15.71,16.1,17.05,15.32,12.21,11.55,13.07,12.21,12.39,13.72,14.97,14.73,14.86,15.69,17.33,17.8,19.85,20.6,21.36,21.8,23.33,31.75,44.23,45.49,46.69,48.49,50.54,52.03,54.74,56.98,59.64,62.61,66.57,68.7,79.75,81.42,85.46,87.64,90.24,93.93,96.58,99.41,101.77,99.41,102.59,102.39,97.86,99.74,97.83,101.96,119.23,112.15,113.9,
Bangladesh,BGD,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,23.11,24.13,24.97,26.05,26.6,26.83,27.59,28.36,29.36,30.25,30.26,30.4,30.13,30.8,31.49,32.99,33.46,38.3,39.4,28.28,28.93,29.98,30.94,31.29,34.51,35.77,36.89,38.5,39.28,41.5,45.03,46.86,49.27,51.99,54.37,57.36,60.87,60.32,61.67,63.06,64.21,67.27,70.07,72.24,76.09,78.25,80.78,83.73,84.88,89.16,91.98,94.6,95.87,98.41,99.82,101.77,107.1,109.92,105.24,113.97,115.23,
Bulgaria,BGR,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,140.89,145,143.96,157.65,176.46,189.62,199.98,208.67,199.28,197.5,207.31,215.51,219.05,220.66,233.61,249.64,251.44,261.18,279.47,281.76,287.43,296.79,306.66,313.93,311.16,318.96,316.44,316.94,316.25,302.51,254.19,236.4,209.95,177.22,178.61,187.12,173.53,184.6,194.84,188.44,112.14,122.13,115.42,123.56,122.7,123.67,114.31,112.52,111.39,108.91,107.75,105.66,104.65,100.12,99.37,100.51,97.29,93.76,92.25,88.56,91.72,
Bahrain,BHR,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,2.8,2.87,2.86,2.81,3.39,3.28,3.45,2.97,3.5,3.8,3.28,3.72,4.43,4.57,6.65,7.51,7.96,9.31,11.22,14.05,9.86,14.4,12.85,15.77,18.18,14.31,22.05,14.31,15.9,15.4,15.26,17.78,19.75,14,13.28,14.08,21.94,20.37,22.01,26.43,21.34,21.92,19.84,17.35,19.01,19.78,22.09,22.47,28.01,24.39,40.1,63.26,86.43,81.31,98.77,119.93,147.84,149.08,137,125.69,133.54,
"Bahamas, The",BHS,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,,26.7,27.45,29.06,31.17,34.5,37.92,38.56,38.84,32.23,29.72,31.45,30.34,64.49,70.23,65.85,75.28,50.08,41.44,33.82,33.33,47.49,42.69,41.47,43.71,46.77,44.83,52.13,52.9,57.61,57.42,48.18,54.07,52.55,45.58,78.6,104.69,86.44,129.76,126.01,70.09,74.33,75,87.07,87.8,89.12,88.86,88.16,89.2,93.96,95.46,99.92,93.9,95.54,98.46,99.59,101.95,100.63,100.36,98.21,97.34,95.23,
