Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,1.470486505,1.412270931,1.314779876,1.84715149,2.09205906,1.628472647,1.95212727,2.023518515,1.513824385,1.777727964,1.992723629,1.345754052,1.338033692,1.24777146,1.344138113,1.515496583,1.294908739,1.421522503,2.813326312,1.513684626,1.511842284,1.268551633,1.198489876,0.938503953,0.943742342,0.862622068,0.824300459,0.770799329,1.026611324,0.902714701,0.943746249,1.150261133,1.028760111,0.75770501,0.903404944,1.904038603,2.80445527,4.255617802,4.109442625,2.377897372,4.849479973,5.022754023,3.039066709,3.54529919,2.910918578,1.852635467,2.578236444,3.178551261,2.826849489,3.390935868,4.012572351,
Austria,AUT,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.018690851,0.012681078,0.009589743,0.0385821,0.047435251,0.007787939,0.016695663,0.008815538,0.002295212,0.005326241,0.002159822,0.001483979,0.007668455,0.003141987,8.68E-05,0.000656402,0,0.000254819,0.010443549,0.013853998,0.00398554,0.004150526,0.008211357,0.005046754,0.002498606,0.00267268,0.001718216,0.001559867,0.008749608,0.007323792,0.006717516,0.004810566,0.003962285,0.001860602,0.00195628,0.013498188,0.014014896,0.033605395,0.039762037,0.011020919,0.045050905,0.048955187,0.030777568,0.033617692,0.018442316,0.009146037,0.011737604,0.015441949,0,0,0,
Azerbaijan,AZE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.982806333,0.309113077,0,0,0,0,0.001575562,0,0,0,0.000284928,9.80E-05,0.000682309,0.001147864,0.001211635,0.003233602,0.004838265,0.012877153,0.094985555,0.116719549,0.087836131,0.057982751,0.050603108,0.073185134,0.109557378,0.309498967,0.152776195,0.17409348,0.278001111,
Burundi,BDI,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0.011729176,0.081768885,0.020584291,0.033348254,0.077093941,0.085618996,0.08967399,0.085350371,0.002100097,0.001279914,0.00445531,0.01489942,0.006580671,0.008521034,0.014083436,0.012141604,0.004281189,0.00175159,0.008700536,0,0,0,0.279591504,0.90906014,0,0,0,0,0.095659396,0.151905256,0.0838956,0.103358958,0.130980425,0.321245039,0.345131802,0.390316646,0.271088031,0.189455217,0.384587492,0.434080255,0.217090325,0.261465662,0.142873174,0.158428434,0.266709442,0,0,0,
Belgium,BEL,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.017806229,0.000485556,0,0.000220538,0.002844357,0,0.003392622,0.001557567,0,0,0,0,5.18E-05,2.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,BEN,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035468616,0.000507726,0,0.00088202,0.001237808,0.000492248,0.000407521,0.000594103,0.00186046,0.001447404,0.001667493,0.001974653,0.002602327,0.003849313,0.003456725,0.002073354,0.001595767,0,0,0,0,0,0,
Burkina Faso,BFA,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233671727,0.368409334,0.619704304,0.573054088,0.541502162,0.530375593,0.273409271,0.777557436,0.080436974,0,0.134174738,0.079992468,0.124531171,0.097216175,0.067740614,0.031911966,0.038153991,0.013239834,0.027948687,0.011108588,0.026028643,0.044342603,0.131141061,0.00062931,0.471558295,1.457955035,4.22402378,7.061493157,5.102308672,3.618895993,2.781322097,2.436194534,3.654471262,4.180310484,3.652481458,3.438234607,4.387350413,
Bangladesh,BGD,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,BGR,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.558803512,0.345232741,0.352059533,0.346012497,0.386031887,0.498918586,0.133535952,0.163185468,2.452280072,2.154752609,0.382672578,0.376599847,0.454915431,0.317298601,0.575113811,0.45905862,0.40076187,0.467956972,0.178116702,0.065216261,0.043346283,0.025760204,0.017954483,0.014564457,0.109883684,0.281830649,1.094883974,0.896651734,0.515922131,0.159923952,0.724359681,0.816225356,0.847075071,0.608878278,0.360710359,0.260084624,0.177081545,0.316211256,0.270433457,0.248857121,0.299915317,
Bahrain,BHR,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bahamas, The",BHS,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,BIH,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160892051,0.066363568,0.014500311,0.011448777,0.052885207,0.03898099,0.057915437,0.031888157,0.017736117,0.019704164,0.09018955,0.703806919,0.458670811,0.791281846,0.746316086,0.264643735,0.809638529,1.08585788,0.816851054,0.805407942,0.45961002,0.255726365,0.279684968,0.356185999,0.156454833,0.033405211,0.027295895,
Belarus,BLR,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
