Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,ATG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.437550156,6.438056624,6.438056624,6.579209808,6.579209808,6.579209808,6.579209808,6.579209808,6.579209808,6.579209808,6.578752333,6.579209808,6.579209808,6.579209808,6.579209808,6.991853251,6.991853251,6.991853251,6.991853251,6.991853251,10.18105002,..,10.18105001,..,..,..,..,..,..,..,..,..,..
Arab League states,ARB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.388929918,3.465828672,3.47145237,3.491658613,7.124145724,7.244961595,7.418131236,7.453077444,7.476694359,7.477934422,7.528316897,7.508461506,7.59291237,7.630724066,7.630796992,7.630792434,7.630821232,7.630816674,7.630812116,7.632280987,8.874381331,..,10.19024632,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.667380601,4.813416417,5.101808488,5.197245879,5.276342712,5.301022302,5.390068335,5.460788544,5.460795964,5.460795964,5.958278412,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241,5.466403241,6.899698165,..,6.906056994,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.931054073,6.931016818,6.931016818,6.931016818,6.931016818,6.931016818,6.931016818,6.931016818,6.931016818,6.931016818,7.042246938,6.931016818,7.991597188,7.991597188,7.991597188,7.991597188,7.991597188,7.991597188,7.991597188,7.991597188,8.102788048,..,8.104472377,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.47521087,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.47521087,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.105546772,0.47521087,..,0.47521087,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.108468197,7.963773461,7.987489399,8.038307265,8.044766574,8.068196603,8.108687065,8.136875176,8.333652713,8.452962013,9.13457256,8.928177435,10.32422326,10.3674665,10.38611838,10.43311895,10.55021956,10.55022324,10.55022324,10.55022324,12.83610738,..,12.84902737,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.66922749,20.99031749,21.01607064,21.04029526,21.05039196,21.06028232,21.44717843,22.28471435,22.61872636,22.83522842,23.52438045,22.90391241,22.90395228,22.92471107,22.92471107,22.92471107,22.92471107,22.92471107,22.93135065,22.93135065,23.58845559,..,23.58851279,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.195276038,6.213836489,6.213836489,6.754736057,6.754736057,6.754736057,6.754736057,6.754736057,6.754736057,6.754736057,6.754707483,6.754736057,6.754736057,6.80405464,7.104590472,7.149470223,7.149470223,7.149470223,7.149470223,7.149470223,7.357206726,..,7.357206726,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.081544409,6.081487584,6.084461457,6.084461457,7.356610993,7.356610993,7.356610993,7.356610993,7.356610993,7.356610993,7.356684836,7.356610993,13.66149916,13.66149916,13.66149916,13.66149916,13.66149916,13.66149916,13.66149916,13.66149916,13.66167382,..,13.66167382,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,2016 Feb,201602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.349981123,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,2.801163856,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,1.34984586,2.801163856,..,2.801163856,..,..,..,..,..,..,..,..,..,..
